config,sharpe,fold_median,frac_pos,worst_fold,growth_week,max_dd,ann_vol,avg_lev,frac_flat,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
cố định 1.58x,1.7424664130719474,1.6149832906430825,1.0,0.3011613665761779,0.01936254075930718,0.5279159902330567,0.7202293488801562,1.58,0.0,2.5731651424797297,2.959618345791697,1.5677382026324735,0.3011613665761779,2.722790761201326,0.4777007149899393,1.042566911812447,1.6622283786536918
cố định 2.00x,1.742466413071947,1.6149832906430825,1.0,0.3011613665761782,0.022905037240476725,0.6219991087287433,0.9116827201014636,2.0,0.0,2.57316514247973,2.9596183457916974,1.5677382026324735,0.3011613665761782,2.722790761201326,0.4777007149899389,1.0425669118124468,1.6622283786536913
cố định 2.50x,1.7424664130719474,1.6149832906430832,1.0,0.30116136657617804,0.026164799626440315,0.7138907175280498,1.1396034001268296,2.5,0.0,2.5731651424797297,2.9596183457916982,1.5677382026324747,0.30116136657617804,2.722790761201327,0.4777007149899389,1.0425669118124468,1.6622283786536918
cố định 3.00x,1.7424664130719476,1.6149832906430825,1.0,0.3011613665761778,0.028251584995809972,0.7869525836734041,1.367524080152195,3.0,0.0,2.5731651424797284,2.9596183457916974,1.567738202632474,0.3011613665761778,2.7227907612013253,0.4777007149899393,1.0425669118124465,1.6622283786536913
cố định 3.50x,1.7424664130719474,1.614983290643083,1.0,0.3011613665761778,0.028868401041367762,0.8497457426356543,1.5954447601775612,3.5,0.0,2.5731651424797297,2.9596183457916974,1.567738202632474,0.3011613665761778,2.7227907612013262,0.4777007149899393,1.042566911812447,1.662228378653692
vol 60%/w20,1.2200360654212044,1.4618315670764614,0.875,-0.28229168860553405,0.010589261582149564,0.5586515393240412,0.5855291555474927,1.4645561773411218,0.40425531914893614,2.4950956631691277,2.2903870075976793,1.4688050877092504,0.7704500330511717,1.8438244418536751,-0.28229168860553405,1.4548580464436724,0.13307722557822144
vol 60%/w20 +van,0.9559441645134861,0.7594463570838096,0.875,-1.5400967205345932,0.006254014303571598,0.4309175630943901,0.43856531104718716,0.9056420731495155,0.6282853566958698,2.393692487238504,2.2903870075976793,0.6823844144521242,0.08053168378084383,0.7439836275129169,0.7749090866547023,1.2166749914448243,-1.5400967205345932
vol 60%/w40,1.2842992293670996,0.8075448639299729,0.875,0.0,0.01180314120721383,0.516625860185154,0.6115729744602908,1.3021135517846518,0.4555694618272841,3.1082196268723923,0.0,1.709737317420175,0.487495154168556,1.6730260492891909,0.5476802030033099,0.4185020579393415,1.067409524856636
vol 60%/w40 +van,0.5121692820578118,0.22665186788601357,0.5,-2.138058453019575,0.0023594893981580675,0.5188700331129873,0.3682288219701465,0.6194843438762789,0.7571964956195244,1.9244349261084328,0.0,1.064416166280206,0.48281885231947014,-0.6022040027471649,0.45330373577202715,-0.9952705233577809,-2.138058453019575
vol 60%/w60,1.301880935058793,0.911847910494453,0.875,0.0,0.01191419473185479,0.4028976713798975,0.6060006919318086,1.2352249374567834,0.4718397997496871,2.6698585745136247,0.0,0.9281805372642307,0.2065480362279393,1.6912377296771008,0.8145311994195055,0.8955152837246754,1.6560819294745548
