n,mean_per_period,sharpe,t_stat,ann_return,ann_vol,max_dd,hit_rate,total_return,avg_turnover,signal,cost
2199.0,0.0008493438836765811,1.2592283258634658,3.090798315401564,0.31001051754195214,0.24619087037243598,0.2798133541799842,0.5284220100045475,4.427942478967246,0.8209772727272726,funding_carry,taker
2199.0,0.0004978547173910817,0.6151263084094626,1.5098384611761777,0.18171697184774482,0.29541407896796346,0.47433874948330346,0.48794906775807184,1.2645188125471178,0.6725681818181819,momentum_30,taker
2199.0,0.0010026814681605954,1.37177274530741,3.3670405940103016,0.36597873587861735,0.2667925406234854,0.2234292073381221,0.5043201455206913,6.328622982528212,0.39340909090909093,momentum_90,taker
2199.0,-0.0013737674809406598,-1.725083299153565,-4.234247630424834,-0.5014251305433408,0.29066719896330323,0.9666241514813925,0.46475670759436105,-0.9628749390103215,1.4622121212121213,reversal_6,taker
2199.0,-0.0005021094153657255,-0.5797816897403529,-1.4230844662117732,-0.1832699366084898,0.31610162902965194,0.8493741737988323,0.5325147794452023,-0.758404256466439,0.19273484848484848,low_vol,taker
2199.0,0.0004811507011116728,0.7974315969480948,1.957310033353229,0.17562000590576057,0.2202320632614608,0.355872899868218,0.49931787175989084,1.490460145764581,1.2211060606060606,ofi_flow,taker
2199.0,0.0010956581174191916,1.6248618199262401,3.9882522276844616,0.3999152128580049,0.24612259821340307,0.2543821573668803,0.5438835834470214,8.326548266352997,0.8209772727272726,funding_carry,maker
2199.0,0.0006996487146625686,0.8644898949631833,2.1219058181538992,0.25537178085183754,0.2954016956585863,0.4172571670174994,0.49977262391996363,2.528830937491826,0.6725681818181819,momentum_30,maker
2199.0,0.0011206896536994767,1.533259498318947,3.7634127005744333,0.409051723600309,0.26678570982197725,0.2186498130726402,0.5093224192814916,8.497925506017681,0.39340909090909093,momentum_90,maker
2199.0,-0.0009350407869888637,-1.1744861585967965,-2.882797159096811,-0.34128988725093523,0.2905865554505021,0.9132447729175815,0.4847658026375625,-0.9024308890292355,1.4622121212121213,reversal_6,maker
2199.0,-0.0004442854044516739,-0.5129776997249083,-1.2591128849179238,-0.162164172624861,0.3161232402730642,0.8355094199838953,0.5343337880854934,-0.7256287861544517,0.19273484848484848,low_vol,maker
2199.0,0.0008474672086150834,1.4045166255440202,3.4474110302499947,0.30932553114450545,0.22023629020745297,0.3366637509538426,0.5211459754433834,4.570845565695875,1.2211060606060606,ofi_flow,maker
