,0.05,0.08,0.1,0.15,0.2
6,1.1068751056698323,1.3567760224681142,1.3224177679246631,1.3186636592774152,1.3151189682040827
12,1.4230175544661259,1.6549151466848946,1.6552073992904417,1.710732293064957,1.6530249434977693
18,2.25487733738992,2.0583778831128043,1.7828100285609514,2.232045074117348,2.2847303294082653
24,1.7653347350903161,1.8837167080440342,1.92043298178461,1.662275380658084,1.877192083680732
36,1.7435268898269296,1.7392719944163997,1.7292395376602645,1.7642862735528757,1.7299816881075711
48,1.8455050281131054,1.865029426776382,1.9863880389111044,1.7820295040391367,1.588933679876287
