tín hiệu,trọng số,rebal,sharpe_toàn,ann,maxDD,sharpe_trung_vị_fold,sharpe_min_fold,fold_dương,n_fold,điểm
4 tín hiệu cũ,rank_binary,12,1.6565510285942888,54.8329824739064,47.80200043803333,0.7059376898668236,-1.1492938360759224,4,5,0.5647501518934589
"5 họ, gộp đều",rank_binary,12,1.214578203034425,42.18193566918792,48.20111600698983,0.06688340448783672,-0.15227170784742827,3,5,0.04013004269270203
"5 họ, thích ứng",rank_binary,12,2.0696697757395484,81.9573709472657,32.8920689454008,1.6272521516628586,0.180507407737259,5,5,1.6272521516628586
"26 tín hiệu, thích ứng",rank_binary,12,1.601328982547771,59.686260305404346,36.45615733086176,0.669927294427811,-0.2343714728397608,4,5,0.5359418355422488
4 tín hiệu cũ,zscore_riskparity,12,1.487672348363964,54.60668448404283,63.697816426486206,0.9607730644289694,-1.9426242953465855,4,5,0.7686184515431755
"5 họ, gộp đều",zscore_riskparity,12,1.14834692141987,43.22235161402179,49.39625052282567,0.1569686539619593,-0.27715978253350204,4,5,0.12557492316956745
"5 họ, thích ứng",zscore_riskparity,12,1.9100835531002502,80.24016377602263,34.27782982832822,1.4216009025464416,0.42233571362964756,5,5,1.4216009025464416
"26 tín hiệu, thích ứng",zscore_riskparity,12,1.6898835911920314,65.11388509853006,31.225169934985907,0.7911279863617235,-0.09335785871857898,4,5,0.6329023890893789
4 tín hiệu cũ,rank_binary,18,1.1640857076923659,40.36765168552528,45.46003473723381,0.6622047933321334,-0.29586345460518915,3,5,0.39732287599928007
"5 họ, gộp đều",rank_binary,18,1.3379994514331919,45.030237600265686,48.69525137180626,0.9825763766220634,-0.285314756407607,3,5,0.589545825973238
"5 họ, thích ứng",rank_binary,18,1.284531823588588,48.052811380221144,34.221863694717015,0.9433920120166326,-0.5059976740748415,4,5,0.7547136096133061
"26 tín hiệu, thích ứng",rank_binary,18,2.1666999564766507,80.86148646248743,26.913333559260288,2.2163853547089754,-0.06676758459294696,4,5,1.7731082837671803
4 tín hiệu cũ,zscore_riskparity,18,1.1975829406394407,48.914114426865964,56.060703531026235,1.0770348348655236,-0.30980920595354533,3,5,0.6462209009193142
"5 họ, gộp đều",zscore_riskparity,18,1.0652952824708672,40.14851777778254,53.3474427899963,0.8143576717208737,-0.6246810293189639,4,5,0.651486137376699
"5 họ, thích ứng",zscore_riskparity,18,1.1244368164951923,47.28312172286805,42.964300128433955,0.9421075644596567,-0.33051227072778344,3,5,0.565264538675794
"26 tín hiệu, thích ứng",zscore_riskparity,18,1.9555777464018596,80.7474588485941,28.71648331131482,1.9661353841391758,0.41236449408786147,5,5,1.9661353841391758
4 tín hiệu cũ,rank_binary,24,1.556277223119321,54.35101192818229,21.55407664917299,0.6102543130441721,0.29902089155496087,5,5,0.6102543130441721
"5 họ, gộp đều",rank_binary,24,1.1303728823922092,40.794903755705164,39.10141318706991,0.4193881170979611,-0.4460439703046432,4,5,0.3355104936783689
"5 họ, thích ứng",rank_binary,24,1.5518677819269646,60.9079174569092,38.42321424714596,1.1848371000928948,0.6879367248556725,5,5,1.1848371000928948
"26 tín hiệu, thích ứng",rank_binary,24,1.2993223251175494,57.3941187144768,38.14521861072383,1.486006389917028,-0.8383737848007402,4,5,1.1888051119336225
4 tín hiệu cũ,zscore_riskparity,24,1.5546139557555259,68.36355227135081,24.04460032786998,1.0937965718233538,0.15121981149715347,5,5,1.0937965718233538
"5 họ, gộp đều",zscore_riskparity,24,0.8797507435207934,34.7596837729553,46.53273029140066,0.7105837782208789,-0.6935233303111799,4,5,0.5684670225767031
"5 họ, thích ứng",zscore_riskparity,24,1.4486864267107962,62.29373580805139,43.439645243514526,1.1340612885039967,0.9314445631786344,5,5,1.1340612885039967
"26 tín hiệu, thích ứng",zscore_riskparity,24,1.2231254075734417,56.6891548324692,36.50567998126578,1.2125268493084538,-0.6609872776707043,4,5,0.9700214794467631
