aum_usd,notional_per_order,slippage_bq_bps,pct_cap_20bps,participation_median_pct,participation_p90_pct,sharpe_toan_mau,sharpe_holdout,ann_return_pct
5000,500.0,5.094179505860772,6.299212598425196,0.0043885790381122105,0.03770561223397292,1.4691609120434266,1.6360030951340832,45.05205186368237
25000,2500.0,9.394751963471103,27.559055118110237,0.021942895190561054,0.18852806116986462,1.4095074146914888,1.5385738669404043,43.22534969034887
100000,10000.0,17.351579369412377,43.30708661417323,0.08777158076224421,0.7541122446794585,1.3518121049217178,1.4597436347248942,41.45685174319596
250000,25000.0,20.69822678040166,61.417322834645674,0.21942895190561051,1.8852806116986462,1.31399430894704,1.4110123775855317,40.29801479027135
500000,50000.0,20.911992734399966,72.44094488188976,0.43885790381122103,3.7705612233972925,1.2910226009086287,1.3839638334543456,39.593444599992964
1000000,100000.0,20.970308567256634,82.67716535433071,0.8777158076224421,7.541122446794585,1.2734935227998145,1.3648024302432054,39.0549624632748
2500000,250000.0,21.10142448195328,88.18897637795276,2.194289519056105,18.85280611698646,1.2592199795259038,1.351434164622098,38.61622848848557
5000000,500000.0,21.211533819576,92.1259842519685,4.38857903811221,37.70561223397292,1.2516417225195429,1.3442478335548405,38.38317629497598
10000000,1000000.0,21.211533819576,92.91338582677166,8.77715807622442,75.41122446794584,1.2453796922760554,1.3379850492529934,38.19051132671471
25000000,2500000.0,21.211533819576,97.63779527559055,21.942895190561053,188.5280611698646,1.238942995986558,1.3328393736784614,37.99254208735785
