rebal,lookback,thr,mode,sharpe,lo,hi,ann,dd,n
12,250,1.0,rank_binary,1.5063122298016847,0.0419947491052833,2.9706297104980863,96.26271246323141,26.92937530255901,329.0
12,250,1.0,zscore_riskparity,1.6595626653506228,0.19427830345520036,3.1248470272460454,114.78926552885287,27.240487734339514,329.0
12,250,2.0,rank_binary,0.9677889444848666,-0.49387003193235435,2.4294479209020876,57.73634947825559,34.97693235447402,329.0
12,250,2.0,zscore_riskparity,0.7755316059047737,-0.685457840808609,2.2365210526181563,39.845345651823905,37.02844449937973,329.0
12,500,1.0,rank_binary,1.3153192634257718,-0.14792349047367662,2.7785620173252203,84.82298884545578,23.52560379812938,329.0
12,500,1.0,zscore_riskparity,1.4598330031591735,-0.0042096165681473,2.9238756228864946,96.30209948159909,26.167736096926507,329.0
12,500,2.0,rank_binary,1.8521599852399042,0.385528816721765,3.3187911537580437,124.52699584331104,23.089303912895463,329.0
12,500,2.0,zscore_riskparity,1.8513444701872974,0.38471931314472396,3.3179696272298704,135.96506177215983,20.90260255700106,329.0
18,250,1.0,rank_binary,1.3822492056514175,-0.08437268842550522,2.8488710997283406,69.12561427137692,28.04867521034827,219.0
18,250,1.0,zscore_riskparity,1.3494599435524133,-0.11689409806844368,2.81581398517327,61.03252376590997,28.74894648798175,219.0
18,250,2.0,rank_binary,0.14432399026890133,-1.3166362803590919,1.6052842608968947,5.974025526002498,43.127026746077924,219.0
18,250,2.0,zscore_riskparity,0.07606371652621645,-1.3848513964100826,1.5369788294625155,2.9626880942673406,38.56514739258115,219.0
18,500,1.0,rank_binary,1.3933656138192354,-0.07334853737820501,2.860079765016676,78.56659238223301,28.28517952274664,219.0
18,500,1.0,zscore_riskparity,1.1342527683456718,-0.33050184701885776,2.5990073837102012,60.06081629768176,26.821703201676016,219.0
18,500,2.0,rank_binary,1.3619868848290415,-0.10446873493920654,2.82844250459729,80.45862826109517,39.58567229632681,219.0
18,500,2.0,zscore_riskparity,1.28359661921672,-0.18223868226160475,2.749431920695045,70.84535381556228,36.87884123061275,219.0
24,250,1.0,rank_binary,0.9318827990262675,-0.5336022896101924,2.3973678876627273,44.950218189795805,35.279607944423795,164.0
24,250,1.0,zscore_riskparity,0.8647296394688986,-0.6002732580490082,2.3297325369868056,39.353539662904765,38.32377227097271,164.0
24,250,2.0,rank_binary,0.40232551251879894,-1.060333509194862,1.8649845342324598,18.186001010003253,27.410873805978465,164.0
24,250,2.0,zscore_riskparity,0.4065339837382265,-1.0561386668701271,1.86920663434658,15.22162093126888,24.877567001950517,164.0
24,500,1.0,rank_binary,1.3517936934793793,-0.11751833767179054,2.8211057246305487,95.70381987438682,25.204995111448746,164.0
24,500,1.0,zscore_riskparity,1.2137435589100831,-0.2541562007394654,2.681643318559632,101.71602114416145,32.1013525342792,164.0
24,500,2.0,rank_binary,0.9248954209723146,-0.5405378224280636,2.390328664372693,65.55130652870427,25.11229045009633,164.0
24,500,2.0,zscore_riskparity,0.8536826211141946,-0.6112443918287533,2.3186096340571427,71.53749824420731,27.700221459125185,164.0
36,250,1.0,rank_binary,1.3296424660972352,-0.14520229308180763,2.804487225276278,122.25686884550025,31.072841139580675,109.0
36,250,1.0,zscore_riskparity,1.272399001447503,-0.20155563366088253,2.7463536365558885,105.40184048895938,32.68853708327315,109.0
36,250,2.0,rank_binary,1.4551180555602337,-0.02181272817805359,2.932048839298521,135.0373484432821,33.854839829202064,109.0
36,250,2.0,zscore_riskparity,1.2572452856881648,-0.21648018146374184,2.7309707528400713,108.0435974301125,36.67967293624363,109.0
36,500,1.0,rank_binary,0.7583399793182912,-0.7093610441683876,2.22604100280497,55.40253871166304,33.078045276119894,109.0
36,500,1.0,zscore_riskparity,0.7473366361715432,-0.7202649248693035,2.21493819721239,49.90951900148502,32.747438314674824,109.0
36,500,2.0,rank_binary,0.9471958767198927,-0.5224375317690267,2.416829285208812,69.79246347957606,37.15130122258278,109.0
36,500,2.0,zscore_riskparity,0.8083539059700198,-0.6598174376594635,2.276525249599503,55.34034250942492,39.98996334382665,109.0
