c_lookback,c_min_periods,c_t_threshold,c_max_abs_weight,c_max_step,p_mode,p_n_positions,p_max_weight,p_vol_window,p_z_clip,p_vol_floor_pct,sharpe_train,sharpe_holdout,n_train,n_holdout,status
750,80,2.5,0.15,0.05,rank_riskparity,8,0.3,40,3.0,0.2,1.951426565994416,1.625337770224228,580,219,ok
500,180,1.5,0.2,0.03,rank_binary,12,0.15,60,2.5,0.05,2.1567297274693855,1.2212317100614973,580,219,ok
500,180,1.5,0.2,0.03,zscore_riskparity,12,0.2,40,2.5,0.2,2.111430235179283,1.3679841150341248,580,219,ok
500,180,1.5,0.2,0.03,rank_riskparity,8,0.15,60,2.0,0.05,1.7840954636053288,0.9402809552157282,580,219,ok
500,180,1.5,0.2,0.03,rank_binary,16,0.15,40,3.0,0.1,2.228253520036122,1.1842864556809767,580,219,ok
500,180,1.5,0.2,0.03,zscore_riskparity,16,0.3,60,2.5,0.2,2.0670422493787544,1.1360061695463213,580,219,ok
500,180,1.5,0.2,0.03,zscore,16,0.2,90,2.0,0.05,2.227454308168993,1.2553199957672998,580,219,ok
500,180,1.5,0.2,0.03,zscore_riskparity,20,0.15,60,3.0,0.2,1.9533073399303473,1.272141859350903,580,219,ok
500,180,1.5,0.2,0.03,zscore,12,0.15,40,2.0,0.05,2.1166444021105235,1.283712828947015,580,219,ok
500,180,1.5,0.2,0.03,rank_riskparity,8,0.3,40,2.0,0.05,1.7626344912598644,1.1909790719464002,580,219,ok
500,180,1.5,0.2,0.03,rank_binary,20,0.15,60,2.0,0.2,2.0376090189888467,1.2796071809062532,580,219,ok
375,180,2.5,0.3,0.03,zscore_riskparity,16,0.3,60,3.0,0.05,1.5699267964321488,0.19677568539762422,580,219,ok
375,180,2.5,0.3,0.03,rank_riskparity,8,0.15,40,2.5,0.1,1.4736275835197647,0.5332499939529405,580,219,ok
375,180,2.5,0.3,0.03,rank_binary,16,0.15,60,3.0,0.1,1.6113154923484112,0.6485057809041085,580,219,ok
375,180,2.5,0.3,0.03,zscore_riskparity,12,0.2,40,2.5,0.05,1.6866103715834397,0.16374988756881498,580,219,ok
375,180,2.5,0.3,0.03,zscore_riskparity,12,0.2,90,2.0,0.1,1.701810052763677,0.09611118269001215,580,219,ok
375,180,2.5,0.3,0.03,rank_riskparity,20,0.15,90,2.5,0.2,1.4733906213681731,0.41150447384266053,580,219,ok
375,180,2.5,0.3,0.03,zscore_riskparity,12,0.15,90,3.0,0.05,1.6488887882367058,0.1502764262772771,580,219,ok
375,180,2.5,0.3,0.03,rank_riskparity,8,0.2,90,2.5,0.05,1.4703171116496525,0.2354149184980472,580,219,ok
375,180,2.5,0.3,0.03,zscore,12,0.3,40,3.0,0.2,1.642137612674099,0.2859526583225206,580,219,ok
375,180,2.5,0.3,0.03,rank_binary,8,0.3,60,2.0,0.2,1.4742802615583228,0.4667867105337589,580,219,ok
750,80,2.0,0.45,0.1,rank_riskparity,12,0.15,60,2.0,0.1,1.88797819129123,1.1249425160455357,580,219,ok
750,80,2.0,0.45,0.1,zscore,8,0.3,40,2.5,0.1,1.7185820432794385,1.0172111209489414,580,219,ok
750,80,2.0,0.45,0.1,zscore_riskparity,8,0.3,60,2.0,0.1,1.6128914068851377,1.0857984986260605,580,219,ok
750,80,2.0,0.45,0.1,zscore_riskparity,12,0.2,90,3.0,0.05,1.7683774032633581,1.1548270466422261,580,219,ok
750,80,2.0,0.45,0.1,rank_binary,20,0.15,90,2.5,0.2,1.6335514843360686,1.2428785991069087,580,219,ok
750,80,2.0,0.45,0.1,rank_riskparity,16,0.3,60,2.0,0.05,1.652509846385623,1.4325280697875107,580,219,ok
750,80,2.0,0.45,0.1,zscore_riskparity,16,0.2,90,2.5,0.2,1.7042265341223155,1.4624949895969754,580,219,ok
750,80,2.0,0.45,0.1,rank_binary,12,0.15,90,2.5,0.2,2.0139925525189546,1.1091289967695777,580,219,ok
750,80,2.0,0.45,0.1,zscore,16,0.15,90,2.0,0.05,1.8373332013527037,1.4679579315725524,580,219,ok
750,80,2.0,0.45,0.1,rank_riskparity,12,0.3,90,3.0,0.1,1.8563457735215663,1.1418413417054614,580,219,ok
375,180,2.5,0.2,0.03,rank_binary,16,0.2,40,2.5,0.1,1.7941573811029634,0.595491670541129,580,219,ok
375,180,2.5,0.2,0.03,zscore_riskparity,20,0.2,40,2.0,0.05,1.7141612854073298,0.18517630035612795,580,219,ok
375,180,2.5,0.2,0.03,zscore,8,0.15,60,2.0,0.2,1.6737953183009113,0.519842397355192,580,219,ok
375,180,2.5,0.2,0.03,rank_riskparity,16,0.15,90,2.5,0.2,1.7067648097453225,0.37146357290912047,580,219,ok
375,180,2.5,0.2,0.03,rank_riskparity,16,0.15,40,2.5,0.2,1.7801970149877728,0.44145859997692094,580,219,ok
375,180,2.5,0.2,0.03,rank_riskparity,8,0.2,40,3.0,0.2,1.6296470844075783,0.6977144206528951,580,219,ok
375,180,2.5,0.2,0.03,rank_riskparity,20,0.2,60,2.5,0.2,1.693696204578313,0.0551973899510454,580,219,ok
375,180,2.5,0.2,0.03,rank_riskparity,8,0.2,40,3.0,0.2,1.6296470844075783,0.6977144206528951,580,219,ok
375,180,2.5,0.2,0.03,rank_binary,16,0.3,90,2.0,0.2,1.782535731158454,0.595491670541129,580,219,ok
375,180,2.5,0.2,0.03,rank_binary,16,0.15,40,3.0,0.05,1.7941573811029634,0.595491670541129,580,219,ok
250,120,1.5,0.2,0.05,zscore_riskparity,20,0.2,40,2.5,0.1,1.9770250812220993,1.2863199894332136,580,219,ok
250,120,1.5,0.2,0.05,rank_binary,8,0.3,60,2.0,0.05,2.1054369895169778,0.8719489478926007,580,219,ok
250,120,1.5,0.2,0.05,zscore,16,0.2,60,3.0,0.1,2.288135791310241,1.0467754946208585,580,219,ok
250,120,1.5,0.2,0.05,rank_binary,8,0.2,90,3.0,0.1,2.112074503369784,0.8719489478926007,580,219,ok
